n_samples = 100

# correlation coefficients of dP/P vs cosmology params:
 k (h/Mpc)     median dP/P [%]           range [%]    rho(Omega_m)    rho(log1e10As)
  0.000987              +0.074      [-0.06, +0.12]          +0.714            -0.124
    0.0031              -0.008      [-0.13, +0.10]          +0.908            -0.209
   0.00975              +0.254      [+0.19, +0.34]          +0.865            -0.216
    0.0306              -0.531      [-1.15, +0.98]          -0.281            -0.140
    0.0962              -0.209      [-1.47, +1.13]          -0.723            -0.109
     0.302              -0.030      [-0.21, +0.46]          -0.492            +0.069
      1.04              +0.053      [+0.03, +0.17]          -0.706            -0.251
      2.99              +0.072      [+0.05, +0.19]          -0.681            -0.282
      10.2              +0.090      [+0.05, +0.21]          -0.262            -0.277
